created_at,id_str,full_text,username
Sun Oct 29 10:43:44 +0000 2023,1718579361715310882,@PorosHalangID Malah lebih tangguh ketimbang honda rangka esaf 😅,poetrahermawan
Sun Oct 29 10:20:00 +0000 2023,1718573389256753332,"Honda Jamin Rangka eSAF Aman, Kini Digaransi 5 Tahun Tanpa Batas Jarak  PT Astra Honda Motor (AHM) menjamin rangka eSAF maupun rangka motor lainnya aman. Honda berani memberikan jaminan garansi hingga 5 tahun.  &gt &gt  https://t.co/3sRfMErye9  #detikoto",detikcom
Sun Oct 29 02:42:13 +0000 2023,1718458184908849447,"Cerita Riding dari Aceh Hingga Malang Pakai Scoopy eSAF, Bikin Ketar-ketir?: Mirza Ramadan, anggota komunitas Scoopy Langsa Aceh berbagi cerita pengalaman touring dari Aceh untuk hadiri helatan Honda Bikers Day 2023 menggunakan Honda Scoopy eSAF. https://t.co/Yr5Uwyb5Ji https://t.co/PK4Vu4oxBv",otosia
Sun Oct 29 00:41:44 +0000 2023,1718427866294296681,"Honda Jamin Rangka eSAF Aman, Kini Digaransi 5 Tahun Tanpa Batas Jarak https://t.co/tWwK8RysbS",detikoto
Sat Oct 28 14:26:22 +0000 2023,1718273001719025999,"Usai viral rangka eSAF yang berkarat cukup membuat PT Astra Honda Motor (AHM) was-was. Alih-alih tak ingin ditinggalkan costumernya, Honda akhirnya memberikan garansi rangka 5 tahun seluruh model dan tanpa batasan kilometer.  Sumber: https://t.co/QAAZpkEHKh",kliknetwork
Sat Oct 28 13:12:51 +0000 2023,1718254502921539839,Garansi Honda adalah Pengalihan isu soal eSAF.,imronvandermeer
Sat Oct 28 12:41:26 +0000 2023,1718246596406874604,Inget kasus rangka esaf honda? Citra nya lansung jelek tapi orang tetep beli beat,vitorisena
Sat Oct 28 12:18:37 +0000 2023,1718240854551503005,Ini Evaluasi Honda Usai KNKT-Kemenhub Periksa Rangka eSAF https://t.co/6Q25jULzFo,detikoto
Sat Oct 28 08:30:00 +0000 2023,1718183318884340034,Honda Kini Berikan Garansi Rangka eSAF Lima Tahun https://t.co/hXoyMV3GZ3,idx_channel
Sat Oct 28 07:20:30 +0000 2023,1718165830528360569,Honda: Konsumen Masih Bisa Cek Rangka eSAF di AHASS Tanpa Biaya #uzoneID #mobil #motor https://t.co/H2l9TKaJnH,uzoneindonesia
Sat Oct 28 06:10:00 +0000 2023,1718148088303591562,"@anabelle_shir @RingSatoe @AstraHondaCare @Honda @HondaJP @KNKT_RI Ini esaf blokkk!!! Bukan tubular lama pipa buled. Buzzer kan kerja buat counter opini doang, timbamg bedain tubular ama esaf aje ga bisa.",rizalogyc
Fri Oct 27 21:26:44 +0000 2023,1718016404568625238,"@RingSatoe @AstraHondaCare @Honda @HondaJP @KNKT_RI Ini mah ketauan banget sales buzzer Yamaaf, kalo mau komplain mah langsung aja kali dateng ke bengkel resmi honda. lagian juga kalo diliat dari fto itu mah mtor lama bukan rangka esaf",anabelle_shir
Fri Oct 27 15:42:24 +0000 2023,1717929748922544257,@aozorua emang mukaku mirip rangkai esaf honda,anakmamanurr
Fri Oct 27 11:51:47 +0000 2023,1717871713000849541,"Sebagai wujud komitmen memberikan pelayanan yang terbaik kepada seluruh pengguna sepeda motor Honda, sekarang untuk rangka semua sepeda motor Honda sudah bergaransi sampai 5 tahun!  Terima kasih BroSis untuk selalu #BersamaHonda #GaransiRangka5Tahun #eSAF #RangkaMotor #Rangka https://t.co/SUiha2lReg",Primamotor8622
Fri Oct 27 10:55:41 +0000 2023,1717857593425805352,@RingSatoe @Honda @HondaJP @KNKT_RI pemeriksaan dan penanganan gratis terhadap keluhan rangka eSAF. Kami bantu untuk pengecekannya agar mendapatkan solusi terbaik bersama tim kami di wilayah bro. Tolong infokan via DM data-data berikut : Nama lengkap : No. hp dan no. WhatsApp :  (cont),AstraHondaCare
Fri Oct 27 07:17:06 +0000 2023,1717802585141436417,Honda Beberkan Hasil Evaluasi KNKT dan Kemehub Soal Rangka eSAF https://t.co/n4TZICTwxb #TempoVideo,tempodotco
Fri Oct 27 06:44:12 +0000 2023,1717794306407440635,Honda Beberkan Hasil Evaluasi KNKT dan Kemehub Soal Rangka eSAF https://t.co/lpREjP3HrM #TempoOtomotif,tempodotco
Fri Oct 27 05:49:24 +0000 2023,1717780514172743842,"Halo @AstraHondaCare , rangka motor saya mendadak Krispy dan karatan. Apakah saya dapat ganti rangka gratis yang lebih bagus kualitasnya? Saya tidak mau diganti rangka Esaf Krispy..  @honda @HondaJP @KNKT_RI https://t.co/mztBFKDsn1",RingSatoe
Fri Oct 27 02:22:40 +0000 2023,1717728491586945317,"@piyapiye5 Baik Kak, AHM berkomitmen tinggi terhadap kualitas setiap produk sepeda motor Honda yang dipasarkan ke konsumen. Rangka eSAF sudah kami produksi dengan standar yang baik sesuai dengan kebutuhan konsumen kami. (cont)",AstraHondaCare
Thu Oct 26 20:15:35 +0000 2023,1717636108669059131,@elinotes_com ini mah gak ada kaitannya kali sama rangka esaf bang. honda ngasih garansi 5 tahun itu buat apresiasi dan meningkatkan pelayanan terhadap konsumen nya.,anabelle_shir
Thu Oct 26 20:13:20 +0000 2023,1717635544837247295,"@elinotes_com kasian uey liat sales2 Yamazuk udag cape2 nyerang honda pake isu rangka esaf, eh hondanya malah makin gacor penjualannya ditambah malah ngasih garansi 5 tahun lgi tanpa syarat apa2",laconsayrichell
Thu Oct 26 13:15:14 +0000 2023,1717530324664529259,"@convomfs Grand filano, honda yg make rangka esaf ngga dlu nder..",ehewhy
Thu Oct 26 13:12:43 +0000 2023,1717529693711180167,@convomfs Selama rangka esaf blm diupgrade sama Honda mending Yamaha dlu,KentangGam25544
Thu Oct 26 12:49:32 +0000 2023,1717523856553050366,"Akhiri drama isu rangka ESAF, Honda Berani Kasih Garansi Rangka Motor 5 Tahun ~ https://t.co/TfvEosp6MT",A_BLogWeb
Thu Oct 26 10:10:06 +0000 2023,1717483734688272384,Punya Motor Honda Keluaran Terbaru dengan Rangka eSAF? Silakan Cek ke Bengkel Resmi   https://t.co/QvxrNVtaV1 lewat @tribunnews,tribunbanten
