created_at,full_text,username,case_folding,cleaning,tokenizing,normalisasi_kata,stopward,kalimat,stemming,text_preprocessed,polarity_score,polarity
Thu Aug 24 04:16:08 +0000 2023,Honda Temukan Bukti Skutik eSAF Karatan dan Patah https://t.co/tqY3frHMdK,CNNIndonesia,honda temukan bukti skutik esaf karatan dan patah https://t.co/tqy3frhmdk,honda temukan bukti skutik esaf karatan dan patah,"['honda', 'temukan', 'bukti', 'skutik', 'esaf', 'karatan', 'dan', 'patah']","['honda', 'temukan', 'bukti', 'skutik', 'esaf', 'karatan', 'dan', 'patah']","['honda', 'temukan', 'bukti', 'skutik', 'esaf', 'karatan', 'patah']",honda temukan bukti skutik esaf karatan patah,honda temu bukti skutik esaf karat patah,"['honda', 'temu', 'bukti', 'skutik', 'esaf', 'karat', 'patah']",-5,negative
Fri Aug 25 00:11:36 +0000 2023,Temukan Bukti Rangka eSAF Karatan Honda Sarankan Pemilik ke Dealer https://t.co/bm5Z15aoMM,CNNIndonesia,temukan bukti rangka esaf karatan honda sarankan pemilik ke dealer https://t.co/bm5z15aomm,temukan bukti rangka esaf karatan honda sarankan pemilik ke dealer,"['temukan', 'bukti', 'rangka', 'esaf', 'karatan', 'honda', 'sarankan', 'pemilik', 'ke', 'dealer']","['temukan', 'bukti', 'rangka', 'esaf', 'karatan', 'honda', 'sarankan', 'pemilik', 'ke', 'dealer']","['temukan', 'bukti', 'rangka', 'esaf', 'karatan', 'honda', 'sarankan', 'pemilik', 'dealer']",temukan bukti rangka esaf karatan honda sarankan pemilik dealer,temu bukti rangka esaf karat honda saran milik dealer,"['temu', 'bukti', 'rangka', 'esaf', 'karat', 'honda', 'saran', 'milik', 'dealer']",-1,negative
Wed Sep 20 00:31:21 +0000 2023,Kemenhub dan KNKT sudah selesai melakukan investigasi kualitas #RangkaeSAF motor Honda yang kualitasnya sempat dipertanyakan konsumen. Hasilnya KNKT dan Kemenhub menyatakan rangka eSAF motor Honda kuat dan aman. Honda juga mengatakan siap menerima kritik dan saran konsumen https://t.co/5M2en93ZL4,03__nakula,kemenhub dan knkt sudah selesai melakukan investigasi kualitas #rangkaesaf motor honda yang kualitasnya sempat dipertanyakan konsumen. hasilnya knkt dan kemenhub menyatakan rangka esaf motor honda kuat dan aman. honda juga mengatakan siap menerima kritik dan saran konsumen https://t.co/5m2en93zl4,kemenhub dan knkt sudah selesai melakukan investigasi kualitas  motor honda yang kualitasnya sempat dipertanyakan konsumen  hasilnya knkt dan kemenhub menyatakan rangka esaf motor honda kuat dan aman  honda juga mengatakan siap menerima kritik dan saran konsumen,"['kemenhub', 'dan', 'knkt', 'sudah', 'selesai', 'melakukan', 'investigasi', 'kualitas', 'motor', 'honda', 'yang', 'kualitasnya', 'sempat', 'dipertanyakan', 'konsumen', 'hasilnya', 'knkt', 'dan', 'kemenhub', 'menyatakan', 'rangka', 'esaf', 'motor', 'honda', 'kuat', 'dan', 'aman', 'honda', 'juga', 'mengatakan', 'siap', 'menerima', 'kritik', 'dan', 'saran', 'konsumen']","['kemenhub', 'dan', 'knkt', 'sudah', 'selesai', 'melakukan', 'investigasi', 'kualitas', 'motor', 'honda', 'yang', 'kualitasnya', 'sempat', 'dipertanyakan', 'konsumen', 'hasilnya', 'knkt', 'dan', 'kemenhub', 'menyatakan', 'rangka', 'esaf', 'motor', 'honda', 'kuat', 'dan', 'aman', 'honda', 'juga', 'mengatakan', 'siap', 'menerima', 'kritik', 'dan', 'saran', 'konsumen']","['kemenhub', 'knkt', 'selesai', 'investigasi', 'kualitas', 'motor', 'honda', 'kualitasnya', 'konsumen', 'hasilnya', 'knkt', 'kemenhub', 'rangka', 'esaf', 'motor', 'honda', 'kuat', 'aman', 'honda', 'menerima', 'kritik', 'saran', 'konsumen']",kemenhub knkt selesai investigasi kualitas motor honda kualitasnya konsumen hasilnya knkt kemenhub rangka esaf motor honda kuat aman honda menerima kritik saran konsumen,kemenhub knkt selesai investigasi kualitas motor honda kualitas konsumen hasil knkt kemenhub rangka esaf motor honda kuat aman honda terima kritik saran konsumen,"['kemenhub', 'knkt', 'selesai', 'investigasi', 'kualitas', 'motor', 'honda', 'kualitas', 'konsumen', 'hasil', 'knkt', 'kemenhub', 'rangka', 'esaf', 'motor', 'honda', 'kuat', 'aman', 'honda', 'terima', 'kritik', 'saran', 'konsumen']",4,positive
Sat Jan 20 12:31:31 +0000 2024,4 Rekomendasi Motor Matic Honda Tanpa Rangka eSAF Tidak semua motor matic Honda menggunakan rangka Enhanced Smart Architecture Frame (eSAF). Beberapa kendaraan roda dua dari Honda seperti BeAT Genio Scoopy dan Vario 160 mengadopsi teknologi eSAF pada rangkanya. A Thread https://t.co/sLHhAyVyws,hensindomotor,4 rekomendasi motor matic honda tanpa rangka esaf tidak semua motor matic honda menggunakan rangka enhanced smart architecture frame (esaf). beberapa kendaraan roda dua dari honda seperti beat genio scoopy dan vario 160 mengadopsi teknologi esaf pada rangkanya. a thread https://t.co/slhhayvyws,rekomendasi motor matic honda tanpa rangka esaf tidak semua motor matic honda menggunakan rangka enhanced smart architecture frame  esaf  beberapa kendaraan roda dua dari honda seperti beat genio scoopy dan vario  mengadopsi teknologi esaf pada rangkanya  a thread,"['rekomendasi', 'motor', 'matic', 'honda', 'tanpa', 'rangka', 'esaf', 'tidak', 'semua', 'motor', 'matic', 'honda', 'menggunakan', 'rangka', 'enhanced', 'smart', 'architecture', 'frame', 'esaf', 'beberapa', 'kendaraan', 'roda', 'dua', 'dari', 'honda', 'seperti', 'beat', 'genio', 'scoopy', 'dan', 'vario', 'mengadopsi', 'teknologi', 'esaf', 'pada', 'rangkanya', 'a', 'thread']","['rekomendasi', 'motor', 'matic', 'honda', 'tanpa', 'rangka', 'esaf', 'tidak', 'semua', 'motor', 'matic', 'honda', 'menggunakan', 'rangka', 'enhanced', 'smart', 'architecture', 'frame', 'esaf', 'beberapa', 'kendaraan', 'roda', 'dua', 'dari', 'honda', 'seperti', 'beat', 'genio', 'scoopy', 'dan', 'vario', 'mengadopsi', 'teknologi', 'esaf', 'pada', 'rangkanya', 'a', 'thread']","['rekomendasi', 'motor', 'matic', 'honda', 'rangka', 'esaf', 'motor', 'matic', 'honda', 'rangka', 'enhanced', 'smart', 'architecture', 'frame', 'esaf', 'kendaraan', 'roda', 'honda', 'beat', 'genio', 'scoopy', 'vario', 'mengadopsi', 'teknologi', 'esaf', 'rangkanya', 'a', 'thread']",rekomendasi motor matic honda rangka esaf motor matic honda rangka enhanced smart architecture frame esaf kendaraan roda honda beat genio scoopy vario mengadopsi teknologi esaf rangkanya a thread,rekomendasi motor matic honda rangka esaf motor matic honda rangka enhanced smart architecture frame esaf kendara roda honda beat genio scoopy vario adopsi teknologi esaf rangka a thread,"['rekomendasi', 'motor', 'matic', 'honda', 'rangka', 'esaf', 'motor', 'matic', 'honda', 'rangka', 'enhanced', 'smart', 'architecture', 'frame', 'esaf', 'kendara', 'roda', 'honda', 'beat', 'genio', 'scoopy', 'vario', 'adopsi', 'teknologi', 'esaf', 'rangka', 'a', 'thread']",-5,negative
Mon Aug 21 13:01:54 +0000 2023,Honda Jual Rangka eSAF Baru Rp1 Jutaan di Tengah Riuh Karatan https://t.co/IepF0OWqsr,CNNIndonesia,honda jual rangka esaf baru rp1 jutaan di tengah riuh karatan https://t.co/iepf0owqsr,honda jual rangka esaf baru rp jutaan di tengah riuh karatan,"['honda', 'jual', 'rangka', 'esaf', 'baru', 'rp', 'jutaan', 'di', 'tengah', 'riuh', 'karatan']","['honda', 'jual', 'rangka', 'esaf', 'baru', 'rp', 'jutaan', 'di', 'tengah', 'riuh', 'karatan']","['honda', 'jual', 'rangka', 'esaf', 'rp', 'jutaan', 'riuh', 'karatan']",honda jual rangka esaf rp jutaan riuh karatan,honda jual rangka esaf rp juta riuh karat,"['honda', 'jual', 'rangka', 'esaf', 'rp', 'juta', 'riuh', 'karat']",3,positive
Thu Sep 21 14:54:58 +0000 2023,info penting utk kamu yg ingin membeli sepeda motor _______________ rangka eSAF HONDA tidak cacat ya #rangkaeSAF #eSAF https://t.co/QujTIFDukv,doctor__fabre,info penting utk kamu yg ingin membeli sepeda motor _______________ rangka esaf honda tidak cacat ya #rangkaesaf #esaf https://t.co/qujtifdukv,info penting utk kamu yg ingin membeli sepeda motor   rangka esaf honda tidak cacat ya,"['info', 'penting', 'utk', 'kamu', 'yg', 'ingin', 'membeli', 'sepeda', 'motor', 'rangka', 'esaf', 'honda', 'tidak', 'cacat', 'ya']","['informasi', 'penting', 'untuk', 'kamu', 'yang', 'ingin', 'membeli', 'sepeda', 'motor', 'rangka', 'esaf', 'honda', 'tidak', 'cacat', 'iya']","['informasi', 'membeli', 'sepeda', 'motor', 'rangka', 'esaf', 'honda', 'cacat', 'iya']",informasi membeli sepeda motor rangka esaf honda cacat iya,informasi beli sepeda motor rangka esaf honda cacat iya,"['informasi', 'beli', 'sepeda', 'motor', 'rangka', 'esaf', 'honda', 'cacat', 'iya']",-7,negative
Mon Jan 29 23:59:25 +0000 2024,Dari semua saham blue chip di LQ45 Astra yang paling banyak kena sentimen negatif. Kontroversi rangka esaf Honda pemalsuan uji keselamatan Daihatsu sampe serangan mobil listrik BYD China jadi bikin market takut proyeksi Astra kedepan bakal terancam https://t.co/WB1xMMuJZa,amjipyeong,dari semua saham blue chip di lq45 astra yang paling banyak kena sentimen negatif. kontroversi rangka esaf honda pemalsuan uji keselamatan daihatsu sampe serangan mobil listrik byd china jadi bikin market takut proyeksi astra kedepan bakal terancam https://t.co/wb1xmmujza,dari semua saham blue chip di lq astra yang paling banyak kena sentimen negatif  kontroversi rangka esaf honda pemalsuan uji keselamatan daihatsu sampe serangan mobil listrik byd china jadi bikin market takut proyeksi astra kedepan bakal terancam,"['dari', 'semua', 'saham', 'blue', 'chip', 'di', 'lq', 'astra', 'yang', 'paling', 'banyak', 'kena', 'sentimen', 'negatif', 'kontroversi', 'rangka', 'esaf', 'honda', 'pemalsuan', 'uji', 'keselamatan', 'daihatsu', 'sampe', 'serangan', 'mobil', 'listrik', 'byd', 'china', 'jadi', 'bikin', 'market', 'takut', 'proyeksi', 'astra', 'kedepan', 'bakal', 'terancam']","['dari', 'semua', 'saham', 'blue', 'chip', 'di', 'lq', 'astra', 'yang', 'paling', 'banyak', 'kena', 'sentimen', 'negatif', 'kontroversi', 'rangka', 'esaf', 'honda', 'pemalsuan', 'uji', 'keselamatan', 'daihatsu', 'sampai', 'serangan', 'mobil', 'listrik', 'byd', 'china', 'jadi', 'bikin', 'market', 'takut', 'proyeksi', 'astra', 'kedepan', 'bakal', 'terancam']","['saham', 'blue', 'chip', 'lq', 'astra', 'kena', 'sentimen', 'negatif', 'kontroversi', 'rangka', 'esaf', 'honda', 'pemalsuan', 'uji', 'keselamatan', 'daihatsu', 'serangan', 'mobil', 'listrik', 'byd', 'china', 'bikin', 'market', 'takut', 'proyeksi', 'astra', 'kedepan', 'terancam']",saham blue chip lq astra kena sentimen negatif kontroversi rangka esaf honda pemalsuan uji keselamatan daihatsu serangan mobil listrik byd china bikin market takut proyeksi astra kedepan terancam,saham blue chip lq astra kena sentimen negatif kontroversi rangka esaf honda palsu uji selamat daihatsu serang mobil listrik byd china bikin market takut proyeksi astra depan ancam,"['saham', 'blue', 'chip', 'lq', 'astra', 'kena', 'sentimen', 'negatif', 'kontroversi', 'rangka', 'esaf', 'honda', 'palsu', 'uji', 'selamat', 'daihatsu', 'serang', 'mobil', 'listrik', 'byd', 'china', 'bikin', 'market', 'takut', 'proyeksi', 'astra', 'depan', 'ancam']",-11,negative
Mon Sep 18 08:07:45 +0000 2023,Balai lelang JBA menyebut kasus rangka eSAF yang saat ini menyandung Honda belum memengaruhi harga lelang motor di Indonesia. bahkan pihak General Manager Operations JBA Indonesia menyebut pihaknya belum menemukan masalah terhadap motor lelang yang memakai rangka eSAF. https://t.co/rOX3ctuKZr,doctor__fabre,balai lelang jba menyebut kasus rangka esaf yang saat ini menyandung honda belum memengaruhi harga lelang motor di indonesia. bahkan pihak general manager operations jba indonesia menyebut pihaknya belum menemukan masalah terhadap motor lelang yang memakai rangka esaf. https://t.co/rox3ctukzr,balai lelang jba menyebut kasus rangka esaf yang saat ini menyandung honda belum memengaruhi harga lelang motor di indonesia  bahkan pihak general manager operations jba indonesia menyebut pihaknya belum menemukan masalah terhadap motor lelang yang memakai rangka esaf,"['balai', 'lelang', 'jba', 'menyebut', 'kasus', 'rangka', 'esaf', 'yang', 'saat', 'ini', 'menyandung', 'honda', 'belum', 'memengaruhi', 'harga', 'lelang', 'motor', 'di', 'indonesia', 'bahkan', 'pihak', 'general', 'manager', 'operations', 'jba', 'indonesia', 'menyebut', 'pihaknya', 'belum', 'menemukan', 'masalah', 'terhadap', 'motor', 'lelang', 'yang', 'memakai', 'rangka', 'esaf']","['balai', 'lelang', 'jba', 'menyebut', 'kasus', 'rangka', 'esaf', 'yang', 'saat', 'ini', 'menyandung', 'honda', 'belum', 'memengaruhi', 'harga', 'lelang', 'motor', 'di', 'indonesia', 'bahkan', 'pihak', 'general', 'manager', 'operations', 'jba', 'indonesia', 'menyebut', 'pihaknya', 'belum', 'menemukan', 'masalah', 'terhadap', 'motor', 'lelang', 'yang', 'memakai', 'rangka', 'esaf']","['balai', 'lelang', 'jba', 'menyebut', 'rangka', 'esaf', 'menyandung', 'honda', 'memengaruhi', 'harga', 'lelang', 'motor', 'indonesia', 'general', 'manager', 'operations', 'jba', 'indonesia', 'menyebut', 'menemukan', 'motor', 'lelang', 'memakai', 'rangka', 'esaf']",balai lelang jba menyebut rangka esaf menyandung honda memengaruhi harga lelang motor indonesia general manager operations jba indonesia menyebut menemukan motor lelang memakai rangka esaf,balai lelang jba sebut rangka esaf sandung honda pengaruh harga lelang motor indonesia general manager operations jba indonesia sebut temu motor lelang pakai rangka esaf,"['balai', 'lelang', 'jba', 'sebut', 'rangka', 'esaf', 'sandung', 'honda', 'pengaruh', 'harga', 'lelang', 'motor', 'indonesia', 'general', 'manager', 'operations', 'jba', 'indonesia', 'sebut', 'temu', 'motor', 'lelang', 'pakai', 'rangka', 'esaf']",-8,negative
Sun Sep 24 07:46:56 +0000 2023,Setelah rangka eSAF Honda muncullah trending rangka motor Yamaha. Mungkin saya harus membeli motor Ducati https://t.co/YKnxaaHKgi,irflm,setelah rangka esaf honda muncullah trending rangka motor yamaha. mungkin saya harus membeli motor ducati https://t.co/yknxaahkgi,setelah rangka esaf honda muncullah trending rangka motor yamaha  mungkin saya harus membeli motor ducati,"['setelah', 'rangka', 'esaf', 'honda', 'muncullah', 'trending', 'rangka', 'motor', 'yamaha', 'mungkin', 'saya', 'harus', 'membeli', 'motor', 'ducati']","['setelah', 'rangka', 'esaf', 'honda', 'muncullah', 'trend', 'rangka', 'motor', 'yamaha', 'mungkin', 'saya', 'harus', 'membeli', 'motor', 'ducati']","['rangka', 'esaf', 'honda', 'muncullah', 'trend', 'rangka', 'motor', 'yamaha', 'membeli', 'motor', 'ducati']",rangka esaf honda muncullah trend rangka motor yamaha membeli motor ducati,rangka esaf honda muncul trend rangka motor yamaha beli motor ducati,"['rangka', 'esaf', 'honda', 'muncul', 'trend', 'rangka', 'motor', 'yamaha', 'beli', 'motor', 'ducati']",-3,negative
Wed Oct 25 07:27:22 +0000 2023,Asyik! Buat Brosis yg beli motor Honda mulai 25 OKT 2023 bakal dpt garansi rangka 5 tahun utk semua tipe motor Skutik Sport Cub CBU &amp; Big Bike Motor Listrik Kepoin detailnya di sini https://t.co/qCKLb25Ghr #BersamaHonda #eSAF #rangkaeSAF #garansiresmi https://t.co/EoCVr21CuL,welovehonda,asyik! buat brosis yg beli motor honda mulai 25 okt 2023 bakal dpt garansi rangka 5 tahun utk semua tipe motor skutik sport cub cbu &amp; big bike motor listrik kepoin detailnya di sini https://t.co/qcklb25ghr #bersamahonda #esaf #rangkaesaf #garansiresmi https://t.co/eocvr21cul,asyik  buat brosis yg beli motor honda mulai  okt  bakal dpt garansi rangka  tahun utk semua tipe motor skutik sport cub cbu  amp  big bike motor listrik kepoin detailnya di sini,"['asyik', 'buat', 'brosis', 'yg', 'beli', 'motor', 'honda', 'mulai', 'okt', 'bakal', 'dpt', 'garansi', 'rangka', 'tahun', 'utk', 'semua', 'tipe', 'motor', 'skutik', 'sport', 'cub', 'cbu', 'amp', 'big', 'bike', 'motor', 'listrik', 'kepoin', 'detailnya', 'di', 'sini']","['asyik', 'buat', 'brosis', 'yang', 'beli', 'motor', 'honda', 'mulai', 'okt', 'bakal', 'dapat', 'garansi', 'rangka', 'tahun', 'untuk', 'semua', 'tipe', 'motor', 'skutik', 'sport', 'cub', 'cbu', 'amp', 'big', 'bike', 'motor', 'listrik', 'kepoin', 'detailnya', 'di', 'sini']","['asyik', 'brosis', 'beli', 'motor', 'honda', 'okt', 'garansi', 'rangka', 'tipe', 'motor', 'skutik', 'sport', 'cub', 'cbu', 'amp', 'big', 'bike', 'motor', 'listrik', 'kepoin', 'detailnya']",asyik brosis beli motor honda okt garansi rangka tipe motor skutik sport cub cbu amp big bike motor listrik kepoin detailnya,asyik bros beli motor honda okt garansi rangka tipe motor skutik sport cub cbu amp big bike motor listrik poin detail,"['asyik', 'bros', 'beli', 'motor', 'honda', 'okt', 'garansi', 'rangka', 'tipe', 'motor', 'skutik', 'sport', 'cub', 'cbu', 'amp', 'big', 'bike', 'motor', 'listrik', 'poin', 'detail']",3,positive
